"clustername","bootstrap","leafname","branchPath","medianOfDistances","sequencesperCluster"
"c9.1",1,"16@13_2",0.1137205,0.01584395,3
"c9.1",1,"154",0.11552445,0.01584395,3
"c9.1",1,"14@11_2$0.00574395-153",0.11552445,0.01584395,3
"c9.2",0.976,"3@3_2",0.0930905,0.00328000000000001,2
"c9.2",0.976,"10@10_2",0.0925905,0.00328000000000001,2
"c9.3",0.9999,"6@6_2",0.1011005,0,2
"c9.3",0.9999,"97@70_0",0.1011005,0,2
"c9.4",0.9999,"7@7_2",0.0968405,0,2
"c9.4",0.9999,"98@71_0",0.0968405,0,2
"c9.5",1,"59@35_5",0.1153005,0.01577395,34
"c9.5",1,"52@33_5$0.00288395-185",0.11552445,0.01577395,34
"c9.5",1,"29@21_5$0.00556395-179",0.11552445,0.01577395,34
"c9.5",1,"39@25_5",0.1030205,0.01577395,34
"c9.5",1,"40@25_5",0.1039905,0.01577395,34
"c9.5",1,"58@35_5$0.00447395-178",0.11552445,0.01577395,34
"c9.5",1,"30@21_5",0.1153005,0.01577395,34
"c9.5",1,"32@23_5$0.00556395-179",0.11552445,0.01577395,34
"c9.5",1,"31@22_5",0.1030705,0.01577395,34
"c9.5",1,"56@35_5$0.00702395-180",0.11552445,0.01577395,34
"c9.5",1,"36@25_5$0.00702395-180",0.11552445,0.01577395,34
"c9.5",1,"37@25_5$0.00288395-185",0.11552445,0.01577395,34
"c9.5",1,"54@33_5",0.1038005,0.01577395,34
"c9.5",1,"28@20_5",0.1037105,0.01577395,34
"c9.5",1,"53@33_5",0.1038005,0.01577395,34
"c9.5",1,"57@35_5$0.00388395-175",0.11552445,0.01577395,34
"c9.5",1,"24@19_5$0.00538395-184",0.11552445,0.01577395,34
"c9.5",1,"45@30_5",0.1016705,0.01577395,34
"c9.5",1,"61@35_5",0.1145405,0.01577395,34
"c9.5",1,"62@35_5",0.1033505,0.01577395,34
"c9.5",1,"26@19_5",0.1127605,0.01577395,34
"c9.5",1,"25@19_5",0.1115905,0.01577395,34
"c9.5",1,"49@33_5$0.00447395-178",0.11552445,0.01577395,34
"c9.5",1,"51@33_5",0.1147305,0.01577395,34
"c9.5",1,"47@31_5",0.1031805,0.01577395,34
"c9.5",1,"42@27_5",0.1042605,0.01577395,34
"c9.5",1,"27@19_5",0.1151705,0.01577395,34
"c9.5",1,"43@28_5",0.1024505,0.01577395,34
"c9.5",1,"48@32_5",0.1032405,0.01577395,34
"c9.5",1,"38@25_5",0.1050605,0.01577395,34
"c9.5",1,"46@31_5$0.00678395-183",0.11552445,0.01577395,34
"c9.5",1,"44@29_5",0.1135505,0.01577395,34
"c9.5",1,"50@33_5",0.1028905,0.01577395,34
"c9.5",1,"60@35_5",0.1025705,0.01577395,34
"c9.6",0.977,"41@26_5",0.1059505,0.01332,4
"c9.6",0.977,"55@34_5",0.1040105,0.01332,4
"c9.6",0.977,"35@24_5",0.1027705,0.01332,4
"c9.6",0.977,"34@24_5",0.1084105,0.01332,4
"c9.7",0.9999,"22@17_4",0.1063205,0,2
"c9.7",0.9999,"95@68_0",0.1063205,0,2
"c9.8",0.9999,"20@15_3",0.1011705,0,2
"c9.8",0.9999,"113@86_0",0.1011705,0,2
"c9.9",0.9999,"17@14_3",0.1064205,0,2
"c9.9",0.9999,"100@73_0",0.1064205,0,2
